GeneSymbol	refSeqAli
1700003F12RIK	NM_029305
1700014N06RIK	NM_027067
1700020N01RIK	NR_027968
1700090G07RIK	NM_030104
2410141K09RIK	NM_183119
2810021J22RIK	NM_172403
3632451O06RIK	NM_026142
4930430A15RIK	NM_026248
4931423N10RIK	NM_027635
5830417I10RIK	NR_028359
6720456H20RIK	NM_172600
6720489N17RIK	NM_173381
9130019O22RIK	NM_030226
A630089N07RIK	NR_015491
AATF	NM_019816
ABT1	NM_013924
ABTB1	NM_030251
ACYP2	NM_029344
ADNP	NM_009628
AEBP1	NM_009636
AEBP2	NM_001005605
AEBP2	NM_009637
AEBP2	NM_178803
AES	NM_010347
AHR	NM_013464
AHRR	NM_009644
AIP	NM_016666
AIRE	NM_009646
ALX3	NM_007441
ALX4	NM_007442
ANK1	NM_001110783
ANK1	NM_031158
ANK1	NR_030254
ANK2	NM_001034168
ANK2	NM_178655
ANKFY1	NM_009671
ANKHD1	NM_175375
ANKRA2	NM_023472
ANKRD1	NM_013468
ANKRD10	NM_001167967
ANKRD10	NM_133971
ANKRD10	NR_030779
ANKRD10	NR_030780
ANKRD10	NR_030781
ANKRD2	NM_020033
ANKRD5	NM_175667
ANKRD6	NM_001012450
ANKRD6	NM_001012451
ANKRD6	NM_080471
AR	NM_013476
ARHGAP17	NM_001122640
ARHGAP17	NM_001122641
ARHGAP17	NM_001122642
ARHGAP17	NM_001122643
ARHGAP17	NM_144529
ARID1A	NM_001080819
ARID3A	NM_007880
ARID3B	NM_019689
ARID4A	NM_001081195
ARID5B	NM_023598
ARNT	NM_001037737
ARNT	NM_009709
ARNT2	NM_007488
ARNTL	NM_001243048
ARNTL	NM_007489
ARX	NM_007492
ASB1	NM_001039126
ASB1	NM_023046
ASB10	NM_080444
ASB11	NM_026853
ASB12	NM_080858
ASB15	NM_080847
ASB2	NM_023049
ASB3	NM_023906
ASB4	NM_023048
ASB5	NM_029569
ASB6	NM_133346
ASB8	NM_001170710
ASB8	NM_001170711
ASB8	NM_030121
ASB9	NM_027027
ASCL1	NM_008553
ASCL2	NM_008554
ASCL3	NM_020051
ASH1L	NM_138679
ASH2L	NM_001080793
ASH2L	NM_011791
ASXL1	NM_001039939
ATF1	NM_007497
ATF2	NM_001025093
ATF2	NM_009715
ATF3	NM_007498
ATF4	NM_009716
ATF5	NM_030693
ATF5	NR_033136
ATF6	NM_001081304
ATF7	NM_146065
ATF7IP	NM_019426
ATM	NM_007499
ATOH1	NM_007500
AW146020	NM_177884
B3GAT3	NM_024256
B930041F14RIK	NM_178699
BACH1	NM_007520
BACH2	NM_001109661
BARD1	NM_007525
BARHL1	NM_001164186
BARHL1	NM_019446
BARX1	NM_007526
BARX2	NM_013800
BASP1	NM_027395
BATF	NM_016767
BAZ1A	NM_013815
BAZ1B	NM_011714
BAZ2A	NM_054078
BBX	NM_027444
BC024139	NM_001142968
BC024139	NM_144848
BCL11A	NM_001159289
BCL11A	NM_001159290
BCL11A	NM_001242934
BCL11A	NM_016707
BCL3	NM_033601
BCL6	NM_009744
BCL6B	NM_007528
BCLAF1	NM_001025392
BCLAF1	NM_001025393
BCLAF1	NM_153787
BCOR	NM_001168321
BCOR	NM_029510
BCOR	NM_175044
BCOR	NM_175045
BCOR	NM_175046
BCOR	NR_045434
BDP1	NM_001081061
BLZF1	NM_001160208
BLZF1	NM_001160209
BLZF1	NM_025505
BMI1	NM_007552
BMYC	NM_023326
BNC1	NM_007562
