PeakID (cmd=annotatePeaks.pl /media/serlia/Storage 2/results-chipseq/rora-enrichment-found-regions-lazar-may-03-2020.bed mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
11.681963503360748	chr7	90132001	90132200	+	0	NA	intron (NM_001360867, intron 1 of 19)	intron (NM_001360867, intron 1 of 19)	1887	NM_001252522	233489	Mm.235175	NM_146194	ENSMUSG00000039361	Picalm	CALM|CLTH|PAP180|fit-1|fit1|mKIAA4114	phosphatidylinositol binding clathrin assembly protein	protein-coding
8.078726679086685	chr4	132035601	132036000	+	0	NA	intron (NM_183428, intron 1 of 20)	MTB_Mm|LTR|ERVL-MaLR	13278	NM_001128606	269587	Mm.30038	NM_183428	ENSMUSG00000028906	Epb41	4.1R|AI415518|D4Ertd442e|Elp-1|Elp1|Epb4.1|mKIAA4056	erythrocyte membrane protein band 4.1	protein-coding
3.2227376102326373	chr6	57581001	57583000	+	0	NA	intron (NM_025992, intron 1 of 22)	intron (NM_025992, intron 1 of 22)	1008	NM_025992	67138	Mm.297393	NM_025992	ENSMUSG00000029798	Herc6	1700121D12Rik|2510038N07Rik|4930427L17Rik|AI451296|CEB1|Herc5	hect domain and RLD 6	protein-coding
0.0-12	chr10	7726801	7727000	+	0	NA	intron (NM_011835, intron 1 of 10)	C-rich|Low_complexity|Low_complexity	900	NM_011835	23924	Mm.28127	NM_011835	ENSMUSG00000019794	Katna1	-	katanin p60 (ATPase-containing) subunit A1	protein-coding
1.346454416712125	chr10	78752401	78753000	+	0	NA	exon (NM_027630, exon 1 of 7)	exon (NM_027630, exon 1 of 7)	367	NM_027630	70976	Mm.188505	NM_027630	ENSMUSG00000078442	Ccdc105	4931413A09Rik	coiled-coil domain containing 105	protein-coding
9.632860581080118	chr7	104287801	104288400	+	0	NA	promoter-TSS (NM_001310602)	promoter-TSS (NM_001310602)	6	NM_001310602	667823	Mm.482375	NM_001310602	ENSMUSG00000060441	Trim5	EG667823|Gm8833	tripartite motif-containing 5	protein-coding
3.5374715899427733	chr11	98026401	98027600	+	0	NA	promoter-TSS (NM_009078)	promoter-TSS (NM_009078)	76	NM_009078	19921	Mm.10247	NM_009078	ENSMUSG00000017404	Rpl19	-	ribosomal protein L19	protein-coding
1.1260610588596534	chr4	133751601	133754800	+	0	NA	exon (NM_001080819, exon 1 of 20)	exon (NM_001080819, exon 1 of 20)	785	NM_001080819	93760	Mm.22478	NM_001080819	ENSMUSG00000007880	Arid1a	1110030E03Rik|BAF250a|Osa1|Smarcf1	AT rich interactive domain 1A (SWI-like)	protein-coding
1.63028284907341	chr12	99964001	99964200	+	0	NA	promoter-TSS (NM_146037)	promoter-TSS (NM_146037)	-399	NM_001164426	217826	Mm.312335	NM_146037	ENSMUSG00000045404	Kcnk13	BB085247|F730021E22Rik|Gm1570|Gm1685	potassium channel, subfamily K, member 13	protein-coding
2.6738716289401054	chr9	98985401	98985800	+	0	NA	promoter-TSS (NM_011810)	promoter-TSS (NM_011810)	-773	NM_001122851	23873	Mm.74605	NM_011810	ENSMUSG00000032463	Faim	-	Fas apoptotic inhibitory molecule	protein-coding
0.4049747223034501	chr8	46163201	46164000	+	0	NA	promoter-TSS (NM_025747)	promoter-TSS (NM_025747)	-51	NM_025747	66756	Mm.133623	NM_025747	ENSMUSG00000031631	Cfap97	1110068E21Rik|4933411K20Rik|AW049273|Kiaa1430	cilia and flagella associated protein 97	protein-coding
10.259359976010662	chr2	180701201	180702600	+	0	NA	intron (NM_177852, intron 1 of 14)	CpG	202	NM_001291433	23856	Mm.253836	NM_011805	ENSMUSG00000038914	Dido1	6720461J16Rik|D130048F08Rik|DATF-1|DIO-1|Datf1|dido	death inducer-obliterator 1	protein-coding
0.3945907652378082	chr8	25842001	25842200	+	0	NA	intron (NM_001080793, intron 1 of 15)	ORR1D2|LTR|ERVL-MaLR	-1313	NM_001359012	23808	Mm.27706	NM_011791	ENSMUSG00000031575	Ash2l	-	ASH2 like histone lysine methyltransferase complex subunit	protein-coding
0.0-49	chr13	44389201	44389600	+	0	NA	Intergenic	Intergenic	-50327	NR_045489	69491	Mm.392410	NR_045489	ENSMUSG00000098144	1700029N11Rik	-	RIKEN cDNA 1700029N11 gene	ncRNA
7.564720319584012	chr2	155929601	155930400	+	0	NA	exon (NM_001355443, exon 1 of 10)	exon (NM_001355443, exon 1 of 10)	310	NM_001355443	56046	Mm.158827	NM_018888	ENSMUSG00000005882	Uqcc1	2310079L17Rik|2410003P15Rik|3110038N19Rik|Bfzb|Bfzp|Cbp3|Uqcc	ubiquinol-cytochrome c reductase complex assembly factor 1	protein-coding
2.8117098668135663	chr11	72606801	72608600	+	0	NA	intron (NM_025985, intron 1 of 5)	CpG	439	NM_025985	67128	Mm.458052	NM_025985	ENSMUSG00000020794	Ube2g1	2700059C12Rik|AI256795|AU014992|AW552068|D130023C12Rik	ubiquitin-conjugating enzyme E2G 1	protein-coding
2.1204061210155487	chr14	26118201	26119200	+	0	NA	Intergenic	Intergenic	-4097	NM_001177538	100039227	Mm.428840	NM_001177538	ENSMUSG00000072675	Duxbl2	Gm10394	double homeobox B-like 2	protein-coding
0.0-44	chr2	60757001	60757200	+	0	NA	intron (NM_020296, intron 10 of 13)	intron (NM_020296, intron 10 of 13)	-34497	NM_001159564	16420	Mm.98193	NM_021359	ENSMUSG00000026971	Itgb6	2210409C20Rik|4831415H04Rik	integrin beta 6	protein-coding
0.7528376206755638-2	chr10	81460401	81461200	+	0	NA	3' UTR (NM_001311127, exon 11 of 11)	3' UTR (NM_001311127, exon 11 of 11)	12331	NM_001311127	319586	Mm.152689	NM_176954	ENSMUSG00000034818	Celf5	4930565A21Rik|Brunol5	CUGBP, Elav-like family member 5	protein-coding
1.4932145193219184	chr8	12671601	12672600	+	0	NA	promoter-TSS (NM_198031)	promoter-TSS (NM_198031)	0	NM_198031	259279	Mm.142095	NM_198031	ENSMUSG00000000759	Tubgcp3	GCP3|Spc98p	tubulin, gamma complex associated protein 3	protein-coding
6.978026196360588	chr14	54685801	54687400	+	0	NA	exon (NM_023190, exon 1 of 19)	exon (NM_023190, exon 1 of 19)	331	NM_023190	56215	Mm.297078	NM_019567	ENSMUSG00000022185	Acin1	2610036I19Rik|2610510L13Rik|Acinus|Acn|C79325|acinusL|acinusS|mKIAA0670	apoptotic chromatin condensation inducer 1	protein-coding
2.554260645274174	chrX	163957201	163959400	+	0	NA	exon (NM_009453, exon 1 of 11)	exon (NM_009453, exon 1 of 11)	366	NM_178794	22184	Mm.426178	NM_009453	ENSMUSG00000031370	Zrsr2	35kDa|5031411E02Rik|A230052C13Rik|C77286|U2af1-rs2|URP	zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2	protein-coding
3.7161623323336244	chr2	92459001	92460600	+	0	NA	promoter-TSS (NM_211358)	promoter-TSS (NM_211358)	-6	NM_211358	228368	Mm.273990	NM_145832	ENSMUSG00000049922	Slc35c1	E430007K15Rik|fuct1	solute carrier family 35, member C1	protein-coding
2.6170518923236674	chr11	79992001	79994200	+	0	NA	promoter-TSS (NM_001163018)	promoter-TSS (NM_001163018)	-6	NM_199196	52615	Mm.283410	NM_199196	ENSMUSG00000017548	Suz12	2610028O16Rik|AI195385|AU016842|AW536442|D11Ertd530e|mKIAA0160	SUZ12 polycomb repressive complex 2 subunit	protein-coding
2.618490448842446	chr15	66560001	66561200	+	0	NA	intron (NM_172514, intron 1 of 9)	intron (NM_172514, intron 1 of 9)	446	NM_172514	213068	Mm.132299	NM_172514	ENSMUSG00000036944	Tmem71	AI661017|E430024D12	transmembrane protein 71	protein-coding
3.837617681494781	chr11	50209601	50211000	+	0	NA	intron (NM_001290769, intron 1 of 7)	CpG	520	NM_011018	18412	Mm.40828	NM_011018	ENSMUSG00000015837	Sqstm1	A170|OSF-6|Osi|STAP|STONE14|p62	sequestosome 1	protein-coding
1.0176287852227688	chr5	122516401	122516800	+	0	NA	Intergenic	Intergenic	-14375	NM_009722	11938	Mm.227583	NM_009722	ENSMUSG00000029467	Atp2a2	9530097L16Rik|D5Wsu150e|SERCA2|SERCA2B|Serca2a|mKIAA4195	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	protein-coding
0.38420678675174713-2	chr1	51472201	51472600	+	0	NA	intron (NM_028696, intron 4 of 5)	intron (NM_028696, intron 4 of 5)	5999	NM_001310549	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding
4.458183353145917	chr3	66985601	66986200	+	0	NA	promoter-TSS (NM_001356273)	promoter-TSS (NM_001356273)	-67	NM_001356273	66880	Mm.316418	NM_025822	ENSMUSG00000034544	Rsrc1	1200013F24Rik|SRrp53	arginine/serine-rich coiled-coil 1	protein-coding
